,CBR,Drop Rate %,RTT (Sec),TCP,TCP Start (Sec),Throughput (Mbps),Time (Sec)
60,3.0,0.0,0.0658106513866227,Agent/TCP,0.551394,2.6243202235078003,19.998411
61,3.0,0.0,0.06581067351524847,Agent/TCP,0.230518,2.625725113458632,19.999838
62,3.0,0.0,0.06581864711207652,Agent/TCP,2.450042,2.6216762460676213,19.999852
63,3.0,0.0,0.06581352974358927,Agent/TCP,1.411879,2.6252590108053533,19.999424
64,3.0,0.0,0.06582441469979307,Agent/TCP,4.607359,2.618441867782537,19.999108
65,3.0,0.0,0.06581851763602196,Agent/TCP,3.038222,2.622426879700999,19.999244
66,3.0,0.0,0.06582166084788019,Agent/TCP,0.894357,2.6260093952348815,19.999361
67,3.0,0.0,0.06582111974354107,Agent/TCP,3.137719,2.620166450580651,19.99906
68,3.0,0.0,0.06582245613058796,Agent/TCP,2.843811,2.6237821116098576,19.999016
69,3.0,0.0,0.06581464703770173,Agent/TCP,2.28671,2.6238819698445615,19.999336
70,3.5,0.0,0.0658372593631086,Agent/TCP,4.090824,2.620456974636144,19.99779
71,3.5,0.0,0.06583705136268342,Agent/TCP,4.811957,2.614289087458545,19.999015
72,3.5,0.020475020475020478,0.06615586443118743,Agent/TCP,4.133116,2.5515732356269236,19.99997
73,3.5,0.0,0.06582443585982076,Agent/TCP,0.51801,2.6265777950436178,19.998994
74,3.5,0.0,0.06583811319201521,Agent/TCP,4.520506,2.6176684636249195,19.999441
75,3.5,0.0,0.06582886910420498,Agent/TCP,2.622779,2.6195427535427878,19.999491
76,3.5,0.035797386790764274,0.06672422397986714,Agent/TCP,1.454464,2.49946520194282,19.998847
77,3.5,0.0,0.06583856817222472,Agent/TCP,4.898072,2.616987221828993,19.999529
78,3.5,0.0,0.06584064867680803,Agent/TCP,4.707127,2.6171489005553887,19.998393
79,3.5,0.0,0.0658406337909191,Agent/TCP,4.902798,2.617885537988676,19.999073
80,4.0,0.0,0.06584195029126226,Agent/TCP,3.605784,2.6189496657281968,19.998432
81,4.0,0.0,0.0658444767575876,Agent/TCP,3.43959,2.61773032513648,19.99879
82,4.0,0.09386146048432514,0.06664720944287074,Agent/TCP,1.832874,2.435110835905678,19.999505
83,4.0,0.0,0.06583329515559867,Agent/TCP,0.20491,2.6270412932480958,19.999163
84,4.0,0.0,0.06584755136013033,Agent/TCP,4.316328,2.6155501127702325,19.998658
85,4.0,0.0,0.06583914754098387,Agent/TCP,2.556437,2.619637466046123,19.999217
86,4.0,0.0,0.06584426175518764,Agent/TCP,3.277361,2.6215079495166687,19.99995
87,4.0,0.0,0.06583192050822625,Agent/TCP,0.509877,2.625481698324249,19.998994
88,4.0,0.0,0.06583255591054316,Agent/TCP,1.120763,2.6223101617093176,19.998896
89,4.0,0.0,0.06584936025369983,Agent/TCP,4.929543,2.614593960477179,19.997091
90,4.5,0.0,0.06583849706362155,Agent/TCP,0.534096,2.6244930774116524,19.998853
91,4.5,0.0,0.06584942441229688,Agent/TCP,2.415892,2.620925512331029,19.999299
92,4.5,0.0,0.06584134448105422,Agent/TCP,0.723673,2.623862102603894,19.999686
93,4.5,0.10407993338884262,0.0662212208010068,Agent/TCP,4.323828,2.5407659305505073,19.999479
94,4.5,0.0,0.0658492180529138,Agent/TCP,1.625098,2.6217668421146585,19.999394
95,4.5,0.0,0.06585042951503572,Agent/TCP,1.707189,2.624062283319718,19.998828
96,4.5,0.0,0.06584149644670093,Agent/TCP,1.217126,2.623907767339228,19.998152
97,4.5,0.0,0.06584029341894064,Agent/TCP,0.224493,2.6249133141654437,19.999927
98,4.5,0.08678672163159037,0.06643529167577032,Agent/TCP,4.550198,2.472130760411024,19.998054
99,4.5,0.0,0.065861035373609,Agent/TCP,3.966199,2.619005593475887,19.999521
100,5.0,0.03832151753209427,0.06615098806085122,Agent/TCP,3.059193,2.5550836180976195,19.998349
101,5.0,0.0,0.06586235063520886,Agent/TCP,2.478697,2.6202473712389796,19.999974
102,5.0,0.032383419689119175,0.06609403170216209,Agent/TCP,0.067299,2.5734552869900402,19.998914
103,5.0,0.08229098090849243,0.06611193061765203,Agent/TCP,0.369806,2.5701695020592052,19.999951
104,5.0,0.0,0.06585889876208281,Agent/TCP,1.259526,2.624040796516116,19.998381
105,5.0,0.0,0.06586810023400973,Agent/TCP,3.678479,2.61678300896885,19.998854
106,5.0,0.0,0.06585789791304374,Agent/TCP,1.733618,2.6209398606599192,19.999432
107,5.0,0.0,0.06586009946773135,Agent/TCP,0.89234,2.624189562300965,19.997911
108,5.0,0.0,0.06585935004492355,Agent/TCP,2.30717,2.6198828082343075,19.999198
109,5.0,0.0,0.06585462984976072,Agent/TCP,0.758904,2.6247857276725144,19.999606
110,5.5,0.017412502176562775,0.06612102814685314,Agent/TCP,1.428076,2.566194611039133,19.999263
111,5.5,0.042689434364994665,0.06640083794805735,Agent/TCP,4.717204,2.545182240511461,19.999536
112,5.5,0.0,0.06588997265624973,Agent/TCP,4.498364,2.613857507881655,19.999867
113,5.5,0.0,0.06586664145793207,Agent/TCP,0.227493,2.623360090150943,19.998778
114,5.5,0.10824463287028685,0.06626662459135499,Agent/TCP,1.621381,2.5025656405972403,19.999832
115,5.5,0.0,0.0658723237584357,Agent/TCP,1.627575,2.6221280317922635,19.99934
116,5.5,0.07122507122507123,0.06610714500537072,Agent/TCP,1.812139,2.5628671144370165,19.998396
117,5.5,0.021701388888888888,0.06622904711014173,Agent/TCP,4.981093,2.5447406339769776,19.997979
118,5.5,0.0,0.06588802127211431,Agent/TCP,4.865443,2.6135559382548594,19.99946
119,5.5,0.019054878048780487,0.06615828344497578,Agent/TCP,2.981622,2.5580220755699226,19.998895
120,6.0,0.0,0.06590958253836579,Agent/TCP,4.621153,2.6139427788359693,19.998016
121,6.0,0.049586776859504134,0.06612259216207247,Agent/TCP,0.448731,2.5687059419748857,19.999369
122,6.0,0.0,0.06588720651050634,Agent/TCP,1.542093,2.6208447224487252,19.999043
123,6.0,0.060313630880579006,0.06617638394662355,Agent/TCP,3.818437,2.5510641259264912,19.998289
124,6.0,0.0,0.06590407723895174,Agent/TCP,3.704607,2.6168606058404156,19.999063
125,6.0,0.04132231404958678,0.06640471022019111,Agent/TCP,4.236108,2.5467560807091427,19.999031
126,6.0,0.05068423720223011,0.06610909572301404,Agent/TCP,0.867298,2.5679629246808924,19.999163
127,6.0,0.0,0.0658988307222008,Agent/TCP,3.328924,2.6177473479384004,19.999257
128,6.0,0.041025641025641026,0.066289106207465,Agent/TCP,4.155231,2.5525470884129344,19.999734
129,6.0,0.0,0.06588432697054468,Agent/TCP,0.690157,2.6227654012535107,19.999608
130,6.5,0.13133208255159476,0.06694031860245507,Agent/TCP,1.387876,2.3747934502449364,19.998404
131,6.5,0.0,0.06590746060196155,Agent/TCP,1.19382,2.621071258114735,19.998345
132,6.5,0.05475451724767294,0.06616029732208369,Agent/TCP,2.238756,2.5600742306397324,19.999616
133,6.5,0.0,0.06590236037491962,Agent/TCP,0.336079,2.622576512293353,19.999063
134,6.5,0.8002207505518764,0.07200135720350939,Agent/TCP,0.34303,1.5170537801344464,19.999024
135,6.5,0.0,0.06592616422054759,Agent/TCP,3.928106,2.614876669475388,19.999472
136,6.5,0.07458512026850643,0.06620272616366363,Agent/TCP,2.608494,2.558685262428137,19.99855
137,6.5,0.0,0.06593209089097006,Agent/TCP,4.002793,2.6148044021282306,19.998238
138,6.5,0.0,0.0659279976152624,Agent/TCP,3.956335,2.6151118672709988,19.997622
139,6.5,0.0,0.06590870141770405,Agent/TCP,1.601607,2.620378018164636,19.998342
140,7.0,1.5527950310559007,0.07821466234967649,Agent/TCP,3.345666,1.109600037038618,19.976956
141,7.0,2.0460358056265986,0.08380799407008079,Agent/TCP,1.891493,0.8790148438354288,19.998673
142,7.0,0.08254230293025176,0.06626163723249555,Agent/TCP,4.168032,2.538427379646176,19.999062
143,7.0,3.7491479209270624,0.09231641110277558,Agent/TCP,0.56554,0.6025436317523368,19.9803
144,7.0,0.04147656574035669,0.06630305045871566,Agent/TCP,4.271892,2.5434425266926204,19.999741
145,7.0,0.0171939477303989,0.06623234593474883,Agent/TCP,1.163094,2.5637344677496627,19.998742
146,7.0,0.0,0.06597807823800145,Agent/TCP,0.640747,2.618921848393626,19.997598
147,7.0,0.0,0.06599452675294556,Agent/TCP,3.487229,2.6132043498494495,19.998697
148,7.0,0.03518029903254178,0.06631538734758798,Agent/TCP,1.588498,2.5633477366981623,19.998548
149,7.0,0.10170870626525631,0.0669086481671102,Agent/TCP,3.490278,2.4688817025883094,19.999777
150,7.5,2.571428571428571,0.08831559548505181,Agent/TCP,0.494759,0.7227748433083584,19.995161
151,7.5,0.11084426380934788,0.07044818193644274,Agent/TCP,0.08853,2.2544973577660548,19.998387
152,7.5,0.07320644216691069,0.06937899429307817,Agent/TCP,1.457536,2.4450584535943696,19.999424
153,7.5,4.725168756027001,0.09468196405228753,Agent/TCP,4.564473,0.5321273742449147,19.997169
154,7.5,0.13006720138738348,0.06980711596418444,Agent/TCP,3.485854,2.315545432729324,19.999907
155,7.5,1.632498101746393,0.07993816171224706,Agent/TCP,0.300814,1.093520779727507,19.999388
156,7.5,0.15027908973808501,0.07029211715028162,Agent/TCP,3.300901,2.31162940622014,19.997695
157,7.5,0.21321961620469082,0.07046106650717675,Agent/TCP,3.692635,2.1431659000306653,19.997635
158,7.5,0.022232103156958647,0.06994559039106163,Agent/TCP,4.52339,2.411691390313997,19.999599
159,7.5,0.09109542245502164,0.06941875550458695,Agent/TCP,4.965611,2.4214038510892295,19.998345
160,8.0,0.8686587908269632,0.07669282628774407,Agent/TCP,4.282322,1.511166660966905,19.984733
161,8.0,0.776023548300776,0.07785849273375371,Agent/TCP,0.30432,1.5647369973405016,19.999387
162,8.0,0.9084556254367574,0.07651559569120286,Agent/TCP,4.060063,1.4782892330062103,19.999136
163,8.0,0.5379959650302623,0.07603689859540938,Agent/TCP,4.898533,1.6227330121694117,19.998195
164,8.0,1.2644508670520231,0.0784781179333583,Agent/TCP,1.668145,1.2387088439564882,19.998199
165,8.0,0.9965635738831614,0.0772299194749913,Agent/TCP,4.41741,1.5334860956395746,19.999788
166,8.0,0.6632653061224489,0.0770554426017104,Agent/TCP,0.126725,1.6294589358158404,19.999432
167,8.0,2.099737532808399,0.08371729219701153,Agent/TCP,0.898481,0.8120697457993606,19.996348
168,8.0,0.9716599190283401,0.07692263061564064,Agent/TCP,0.143874,1.535535089007723,19.996758
169,8.0,0.6856540084388186,0.07726911349610947,Agent/TCP,0.891551,1.6409570412450418,19.981094
170,8.5,1.6336633663366338,0.07967313561076601,Agent/TCP,4.914421,1.0909643208898057,19.991871
171,8.5,1.227639424763241,0.0804248875589407,Agent/TCP,0.912314,1.2222773906817064,19.999307
172,8.5,4.099560761346998,0.0934738361719383,Agent/TCP,1.269443,0.5797515603697323,19.998017
173,8.5,2.9944838455476757,0.08891535294117649,Agent/TCP,4.46783,0.6559475324418355,19.993462
174,8.5,1.3634426927993182,0.0815142073224527,Agent/TCP,4.934241,1.2796521234915346,19.97958
175,8.5,1.1207519884309471,0.08093940365262763,Agent/TCP,2.166307,1.2760058870659174,19.993184
176,8.5,1.532912533814247,0.08128603053076547,Agent/TCP,4.187681,1.1454696265777016,19.993111
177,8.5,1.7272727272727273,0.08073047401049117,Agent/TCP,1.881751,0.9905861375698289,19.998863
178,8.5,1.2758620689655173,0.0813717672259906,Agent/TCP,0.009401,1.18954519614213,19.999293
179,8.5,5.2502050861361775,0.09775434676663547,Agent/TCP,0.119902,0.48198000419942805,19.989274
180,9.0,2.004110996916752,0.0854717977223427,Agent/TCP,3.242941,0.9465985885632803,19.978229
181,9.0,2.9789719626168223,0.08764302083333336,Agent/TCP,0.359457,0.7036603531690728,19.987563
182,9.0,2.371541501976284,0.0846380599684377,Agent/TCP,1.933567,0.9068395911782196,19.998945
183,9.0,2.4838012958963285,0.08765622113163955,Agent/TCP,2.923627,0.8756335686787129,19.998532
184,9.0,1.9729425028184893,0.08640283669833729,Agent/TCP,4.749491,0.94916422825106,19.984452
185,9.0,5.660377358490567,0.0980527225929456,Agent/TCP,0.447158,0.48768399764378273,19.998835
186,9.0,4.8606147248034315,0.09452381014729958,Agent/TCP,0.331751,0.563130110050851,19.982485
187,9.0,2.692713833157339,0.08526154285714298,Agent/TCP,2.855558,0.8891810326371468,19.997804
188,9.0,3.7828947368421053,0.09207270545454545,Agent/TCP,4.322955,0.617831869963386,19.998417
189,9.0,2.5819265143992056,0.08514287912673055,Agent/TCP,2.363811,0.9228219972705873,19.999108
190,9.5,5.2722558340535866,0.09785617564870261,Agent/TCP,4.550373,0.5897100810447463,19.999863
191,9.5,4.649390243902439,0.09547688307155332,Agent/TCP,3.206642,0.6183217157241426,19.999971
192,9.5,4.435483870967742,0.09559855851063824,Agent/TCP,1.052811,0.6218899077968231,19.997386
193,9.5,8.616187989556137,0.12487812980769239,Agent/TCP,1.495808,0.31353654185093477,19.992408
194,9.5,6.805293005671078,0.10322055129650497,Agent/TCP,0.559022,0.4217977852157702,19.988996
195,9.5,4.918032786885246,0.09615998440065679,Agent/TCP,1.392797,0.5963327638421968,19.991272
196,9.5,4.71841704718417,0.09580547043478263,Agent/TCP,2.626805,0.5972526754552346,19.998615
197,9.5,6.488888888888889,0.09845138095238089,Agent/TCP,2.822997,0.5090982128432516,19.999722
198,9.5,5.4640718562874255,0.09696055497382189,Agent/TCP,0.570664,0.5381996866565234,19.987695
199,9.5,4.791238877481177,0.10093593068535825,Agent/TCP,0.897538,0.6060162404379201,19.981383
200,10.0,16.3302752293578,0.14486337426900572,Agent/TCP,4.049834,0.23684607995473742,19.999433
201,10.0,12.599469496021221,0.1378966294896031,Agent/TCP,0.973587,0.28698305165662324,19.992968
202,10.0,12.676056338028168,0.13516381086519125,Agent/TCP,1.156272,0.27221546949764863,19.984886
203,10.0,12.037037037037036,0.1385051196581196,Agent/TCP,2.950414,0.27782974501210395,19.991066
204,10.0,12.520868113522537,0.131019042253521,Agent/TCP,4.522952,0.28063972541843707,19.999592
205,10.0,12.922173274596183,0.13528179497907955,Agent/TCP,2.413456,0.27990953076970454,19.981418
206,10.0,13.080168776371309,0.1417109247524752,Agent/TCP,0.77865,0.2665651898613836,19.975155
207,10.0,13.60544217687075,0.14538774334140445,Agent/TCP,3.817269,0.26271354162709565,19.874911
208,10.0,14.66275659824047,0.1385611915367482,Agent/TCP,1.377742,0.25978133773868506,19.986623
209,10.0,12.732919254658384,0.13313673451327435,Agent/TCP,3.434758,0.2800209440507935,19.98552
210,10.5,29.72972972972973,0.6948552031250002,Agent/TCP,2.834291,0.050214766414470154,19.90656
211,10.5,39.705882352941174,1.3060847499999997,Agent/TCP,2.918593,0.02010229892888516,19.489832
212,10.5,40.476190476190474,0.3543165714285711,Agent/TCP,3.913433,0.014606686838988078,17.605792
213,10.5,25.339366515837103,0.3295372807017543,Agent/TCP,3.415478,0.08141148342983796,19.975304
214,10.5,29.166666666666668,0.3905708720930236,Agent/TCP,2.912521,0.06528127760236946,19.99552
215,10.5,30.935251798561154,0.599082671875,Agent/TCP,2.936429,0.05091949314652034,18.465256
216,10.5,31.020408163265305,0.3566672020202022,Agent/TCP,2.077731,0.07853938583804679,19.878736
217,10.5,37.5,0,Agent/TCP,3.320178,0.0036003484622976006,12.652608
218,10.5,29.80132450331126,0.4453368732394368,Agent/TCP,3.41785,0.05366804296243765,19.701656
