,TCP1,TCP2,CBR,TCP1 Start,TCP2 Start,TCP1 Time,TCP2 Time,TCP1 Throughput,TCP2 Throughput,TCP1 Droprate,TCP2 Droprate,TCP1 RTT,TCP2 RTT
0,Reno,Reno,0.0,6.490799,0.865849,29.999551,29.992847,2.6327556647839065,2.6365202483276855,0.0,0.0,0.0657493921938072,0.06575665937161469
1,Reno,Reno,0.0,0.830151,2.354611,29.999783,29.999427,2.6383713034158265,2.6379311043343527,0.0,0.0,0.06574347682979861,0.06574101577142946
2,Reno,Reno,0.0,6.192553,8.241083,29.990921,29.999755,2.632530096181385,2.6315282476798214,0.0,0.0,0.06574416148738166,0.06574632896651897
3,Reno,Reno,0.0,6.09588,3.462015,29.996815,29.999455,2.6351571601696753,2.6360824555797393,0.0,0.0,0.065758409403972,0.06576660057197424
4,Reno,Reno,0.0,8.361571,2.920387,29.999219,29.997555,2.6316353792242118,2.634237081219129,0.0,0.0,0.06575731537335142,0.06576685554259105
5,Reno,Reno,0.0,6.520622,2.09252,29.999374,29.992574,2.6329304044780573,2.6391461464554866,0.0,0.0,0.06574696631635463,0.06574252842582216
6,Reno,Reno,0.0,2.004306,6.370797,29.998029,29.999741,2.6362595643316182,2.6313355349269947,0.0,0.0,0.06574447519729541,0.06574489959839151
7,Reno,Reno,0.0,0.549835,1.084507,29.999835,29.999611,2.63670220713073,2.6385767106353826,0.0,0.0,0.06573980878885552,0.06574493541689629
8,Reno,Reno,0.0,8.833938,1.992181,29.999282,29.984213,2.6298235455091112,2.636418820898747,0.0,0.0,0.065748731787582,0.06574075310033943
9,Reno,Reno,0.0,1.390613,2.025516,29.999413,29.995109,2.6377450295014118,2.6385339250378084,0.0,0.0,0.06575232762998319,0.06575302248587604
10,Reno,Reno,0.5,3.41915,5.650594,29.999844,29.999157,2.6352359347728087,2.6345505482192113,0.0,0.0,0.06575605374553967,0.06576277197087746
11,Reno,Reno,0.5,4.12464,2.828943,29.996157,29.999168,2.6338277728360495,2.636544967883041,0.0,0.0,0.0657566704517689,0.06576571255673007
12,Reno,Reno,0.5,4.49147,8.128886,29.999844,29.998138,2.632835789533272,2.6288745495273447,0.0,0.0,0.0657846576140868,0.0657772653445278
13,Reno,Reno,0.5,4.892201,3.225765,29.999284,29.999844,2.6344884429624895,2.6364006769383175,0.0,0.0,0.06576029868984534,0.06575576422668115
14,Reno,Reno,0.5,2.375875,1.336292,29.999157,29.995087,2.635469601331225,2.638949753470095,0.0,0.0,0.06575434735398226,0.0657546315325232
15,Reno,Reno,0.5,9.425799,9.400644,29.999147,29.999284,2.6290635826507183,2.629470683501435,0.0,0.0,0.06576340909090836,0.06576715714945264
16,Reno,Reno,0.5,1.19355,9.997379,29.999157,29.999844,2.6370532653590666,2.6263163065152217,0.0,0.0,0.06575387273922885,0.06576509492868432
17,Reno,Reno,0.5,1.11279,2.667576,29.999157,29.999844,2.6354411407983567,2.635829562332698,0.0,0.0,0.0657788048967069,0.06575721179190702
18,Reno,Reno,0.5,7.960519,2.444992,29.999672,29.997299,2.6312590143550434,2.636219173951568,0.0,0.0,0.06577954657849329,0.06578307627896206
19,Reno,Reno,0.5,3.513963,9.168873,29.999453,29.999844,2.6355985862447704,2.631297408075697,0.0,0.0,0.06575841806898024,0.06576398858447347
20,Reno,Reno,1.0,7.317691,8.43337,29.999381,29.998811,2.6300826790243583,2.6281011364432563,0.0,0.0,0.06580326829608775,0.0657717973568278
21,Reno,Reno,1.0,8.334018,9.848753,29.999445,29.999302,2.629413212119013,2.6288990935184944,0.0,0.0,0.06578939256984095,0.06579223874015679
22,Reno,Reno,1.0,5.290077,0.331113,29.998905,29.991543,2.6331770976753734,2.637911857650074,0.0,0.0,0.06577773457106188,0.0657743792332266
23,Reno,Reno,1.0,9.73425,3.538413,29.999414,29.998414,2.6279895884385636,2.6324776027030383,0.0,0.0,0.06578520015649522,0.06581095221027236
24,Reno,Reno,1.0,1.06388,0.633411,29.999445,29.998349,2.636710912677876,2.6378233797054156,0.0,0.0,0.06576589130197409,0.06579307135937694
25,Reno,Reno,1.0,1.748303,3.736797,29.999445,29.998905,2.6357985811688605,2.633622556117734,0.0,0.0,0.06578181456212784,0.06576403056558262
26,Reno,Reno,1.0,5.068896,2.93532,29.999445,29.996348,2.6331197118844027,2.6348858587338215,0.0,0.0,0.0657806214158837,0.06579656485159965
27,Reno,Reno,1.0,8.316913,2.350991,29.999445,29.999414,2.628490067488428,2.6360823544981207,0.0,0.0,0.06578251262958051,0.06576484662857114
28,Reno,Reno,1.0,4.181937,5.816174,29.998349,29.999445,2.63300415255226,2.631915260760217,0.0,0.0,0.06579784509803817,0.06578060562459098
29,Reno,Reno,1.0,4.571764,7.631616,29.999445,29.998349,2.6339924588482924,2.6299200692385427,0.0,0.0,0.0658030822855703,0.06577256530352378
30,Reno,Reno,1.5,8.436433,1.131571,29.995505,29.999977,2.6281056995403143,2.6370808280859013,0.0,0.0,0.06577820513950083,0.06578155911977109
31,Reno,Reno,1.5,1.507926,3.704253,29.998323,29.999323,2.634689857077106,2.6357001521578,0.0,0.0,0.06580439108251965,0.06578673613283523
32,Reno,Reno,1.5,9.458558,9.992373,29.999146,29.999309,2.6288010839806533,2.62614525282632,0.0,0.0,0.06578463702331329,0.06578217733755969
33,Reno,Reno,1.5,4.353374,7.161872,29.997323,29.999323,2.631569732103273,2.6321816738654413,0.0,0.0,0.06581028409371104,0.06578093342579759
34,Reno,Reno,1.5,6.855838,6.065889,29.999309,29.999146,2.6315292118455353,2.631598365404258,0.0,0.0,0.06577500642954878,0.06577773473433753
35,Reno,Reno,1.5,5.5745,0.617429,29.999977,29.997706,2.6330671044827496,2.6364462118583836,0.0,0.0,0.06579167781233837,0.06578867781122251
36,Reno,Reno,1.5,4.199923,8.11,29.999146,29.999309,2.6347584188872664,2.6295064864770286,0.0,0.0,0.06577443717052833,0.0657774991316927
37,Reno,Reno,1.5,1.841533,0.653091,29.999309,29.99798,2.636265023203537,2.6345221479624614,0.0,0.0,0.0657775181818173,0.06581618385360555
38,Reno,Reno,1.5,7.123388,2.777411,29.997706,29.999309,2.629757966991628,2.6367360571257743,0.0,0.0,0.0657784699861685,0.06576982253193896
39,Reno,Reno,1.5,3.422971,9.870101,29.999977,29.999309,2.632784144308806,2.6258996379788018,0.0,0.0,0.06582686069770143,0.06579403370078783
40,Reno,Reno,2.0,7.2519,2.686277,29.999903,29.998804,2.6297306185514393,2.6349930930960723,0.0,0.0,0.06579062273865843,0.06582642052826701
41,Reno,Reno,2.0,7.273848,1.559808,29.999751,29.999422,2.6315557186000484,2.635298777261885,0.0,0.0,0.06580061952580259,0.06579171739613422
42,Reno,Reno,2.0,6.631337,2.875126,29.999903,29.999751,2.6311036800460923,2.633922496624377,0.0,0.0,0.06579552147405543,0.06583376399906676
43,Reno,Reno,2.0,1.332214,0.521877,29.999662,29.996368,2.6369923126746406,2.634229035541275,0.0,0.0,0.06578251003307595,0.06582222883172578
44,Reno,Reno,2.0,9.190939,2.112453,29.998804,29.999903,2.6270220419057893,2.6343720921059472,0.0,0.0,0.06580166230007609,0.0658221769309291
45,Reno,Reno,2.0,3.801344,9.182373,29.999903,29.998804,2.6327066309257696,2.6263407017273996,0.0,0.0,0.06583457733204481,0.06579693394216135
46,Reno,Reno,2.0,8.295775,7.084229,29.999751,29.999325,2.627809761676847,2.632339833967966,0.0,0.0,0.06579929021897832,0.06578750573759155
47,Reno,Reno,2.0,6.131792,7.025978,29.999422,29.999751,2.6315138955983484,2.63141104423727,0.0,0.0,0.06579297308049331,0.06580514510344876
48,Reno,Reno,2.0,8.739377,2.704446,29.999751,29.999325,2.6266781572139792,2.6366967957615786,0.0,0.0,0.0657946897168406,0.0657827594716718
49,Reno,Reno,2.0,5.806961,7.600287,29.999903,29.999662,2.630863166621075,2.6309162644046986,0.0,0.0,0.0657905077124185,0.06578516209335206
50,Reno,Reno,2.5,7.339033,7.133952,29.999235,29.99944,2.629639400390164,2.630773504593473,0.0,0.0,0.06581214349650319,0.06579667963988875
51,Reno,Reno,2.5,8.549272,7.611814,29.998716,29.999952,2.6275739361822152,2.6274056377533492,0.0,0.0,0.06580529542097459,0.06586838821195784
52,Reno,Reno,2.5,3.445743,2.609846,29.999109,29.997773,2.63512806624968,2.633814527108971,0.0,0.0,0.06580713514479782,0.06578778994116964
53,Reno,Reno,2.5,2.059896,0.671645,29.999109,29.999235,2.6354471759816565,2.635508747905982,0.0,0.0,0.06580097917845404,0.06581261308048664
54,Reno,Reno,2.5,7.362946,9.041415,29.99944,29.999169,2.6279829376404313,2.6280831428787645,0.0,0.0,0.06584249398096274,0.06579840075642919
55,Reno,Reno,2.5,0.044098,1.158734,29.999109,29.998716,2.6358568187472877,2.63535254633654,0.0,0.0,0.06582067408736017,0.06578505892661511
56,Reno,Reno,2.5,1.39363,2.738197,29.999169,29.999109,2.636882318490835,2.6338781329105934,0.0,0.0,0.06578472110497191,0.065788254520167
57,Reno,Reno,2.5,0.962665,9.503572,29.999169,29.99944,2.6364275809512057,2.6264181638952784,0.0,0.0,0.06578383297061992,0.06580765166279941
58,Reno,Reno,2.5,8.373656,6.039244,29.99944,29.999169,2.627692942831575,2.6314473021096685,0.0,0.0,0.06581374871794883,0.06580652900753246
59,Reno,Reno,2.5,9.789857,8.13142,29.999169,29.999109,2.6274303647744173,2.6290624491687256,0.0,0.0,0.06579981318681273,0.06579915546218469
60,Reno,Reno,3.0,7.194366,5.712684,29.999504,29.999348,2.6304388072547504,2.6309879364246975,0.0,0.0,0.0658022644444438,0.06582156584093735
61,Reno,Reno,3.0,3.022369,6.955057,29.997331,29.999869,2.6312637622992763,2.63196419220083,0.0,0.0,0.06583775627198059,0.06580914328932823
62,Reno,Reno,3.0,4.741241,6.041056,29.999869,29.997331,2.6318579140561393,2.630806333622402,0.0,0.0,0.0658382808073198,0.06580019286657798
63,Reno,Reno,3.0,2.866231,2.752783,29.999504,29.999348,2.6340029085322656,2.633432874933042,0.0,0.0,0.06579690622087526,0.0658395333333328
64,Reno,Reno,3.0,0.67561,4.973069,29.99876,29.997331,2.6359078066305974,2.6322358677350803,0.0,0.0,0.06580802478715307,0.06579836346396918
65,Reno,Reno,3.0,4.538334,5.777819,29.99876,29.999348,2.630604845339194,2.6325670852570866,0.0,0.0,0.06583983954760034,0.06579800784313647
66,Reno,Reno,3.0,3.000525,9.819684,29.999348,29.999504,2.6326362449207505,2.626322732313767,0.0,0.0,0.06584930070339888,0.06581228492849259
67,Reno,Reno,3.0,4.758673,9.01978,29.999348,29.99876,2.629444735531042,2.628596814525778,0.0,0.0,0.06585878427191706,0.06582256594071358
68,Reno,Reno,3.0,6.15746,8.4322,29.999348,29.997523,2.6315634063879503,2.627343907624291,0.0,0.0,0.06581342760361246,0.06582181763409224
69,Reno,Reno,3.0,4.578314,7.71623,29.99876,29.999348,2.630487285706946,2.6297073865515586,0.0,0.0,0.06584865110197916,0.06581552048364103
70,Reno,Reno,3.5,0.740777,0.234159,29.999291,29.999839,2.636043648696581,2.63361562712493,0.0,0.0,0.0658110216052713,0.0658506983857257
71,Reno,Reno,3.5,6.61738,8.309839,29.999447,29.999291,2.6278053176393685,2.6276514501150143,0.0,0.0,0.06589262235485539,0.0658237441554645
72,Reno,Reno,3.5,8.558482,2.403154,29.99998,29.999447,2.626995557866339,2.6341277069351308,0.0,0.0,0.0658263705838878,0.0658297240628221
73,Reno,Reno,3.5,2.131422,2.80752,29.999839,29.998854,2.632588711443495,2.634498182398848,0.0,0.0,0.0658495671963671,0.0658066818234673
74,Reno,Reno,3.5,5.743754,5.274516,29.99996,29.999839,2.630861561779282,2.632429918104608,0.0,0.0,0.06581189953027104,0.06580831856594056
75,Reno,Reno,3.5,3.970474,1.755533,29.999157,29.996185,2.631349423249728,2.6358938171824073,0.0,0.0,0.0658240466585659,0.0658146106382972
76,Reno,Reno,3.5,0.020771,9.098644,29.998854,29.999839,2.633828187079207,2.6276315780030757,0.0,0.0,0.06586074876067857,0.06582139969650973
77,Reno,Reno,3.5,8.121851,3.95425,29.999291,29.998727,2.627890648997323,2.6335871517020673,0.0,0.0,0.06581625039826179,0.06581380133657314
78,Reno,Reno,3.5,5.977105,7.207931,29.99996,29.999839,2.628710034673231,2.631235612218161,0.0,0.0,0.06583734194228433,0.065813017246175
79,Reno,Reno,3.5,2.263016,4.504333,29.999157,29.998854,2.631945085655571,2.633613708608214,0.0,0.0,0.06584817685290696,0.06581050316573529
