TCP1, TCP2, Time, CBR Bandwidth, TCP1 Bandwidth, TCP2 Bandwidth, TCP1 Loss Rate, TCP2 Loss Rate, TCP1 Latency, TCP2 Latency
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 5, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 3, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 1, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 5, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 1, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 1, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
Reno, Reno, 60, 0, 1, 1, 0, 0, 0, 0
